	Nest	species	C21:1	C21	me9C21	C22	C23:1	C23	Me11C23	Me 5 cC23	Me3C23	C24	meC24	C25:1	C25:1	C25	me9C25	me7C25	me3C25	dime5yC25	C26	meC26	me2C26	C27:1	C27:1	C27	me11C27	me7C27	me5C27	dime9yC27?	me3C27	dime5yC27	C28	me8C28	C29:1	C29	me11C29	me7C29	me5C29	dim11YC29	dime5YC29	C30	meC30	meC30	C31	me11C31
Nest2BigWorker	2	1	-3.732047999	-1.830482112	-0.535906532	-0.976284848	-3.732047999	1.774740386	-3.732047999	-1.167098641	-3.732047999	1.18286769	-0.35997707	-3.732047999	-2.18448549	4.067342744	0.567472934	0.145188843	2.023778196	-3.732047999	1.734228265	-0.062123536	-0.526407212	0.08911829	0.08911829	2.257994936	2.386255035	1.716832484	1.639740702	-0.614620663	1.647784546	0.455724852	1.58825356	1.634796377	0.587091897	0.552260179	2.366842213	1.621466582	0.581420032	-0.043168545	1.596122093	-0.015331539	-0.150619716	-2.047969328	0.249881911	0.350440187
Nest2larva1	2	2	-3.592583951	-3.592583951	-0.705446752	-0.611991813	-3.592583951	0.652575419	-3.592583951	-1.429260925	-3.592583951	0.51508294	-0.258272733	-3.592583951	-0.902717612	3.348536037	2.070618725	0.987738235	2.284041332	-3.592583951	0.420983633	1.148525454	-3.592583951	-0.785894028	-0.785894028	1.965021534	3.122057886	2.391502704	1.769862951	1.097581664	1.630291362	0.998222894	1.800552566	1.991903862	0.625831275	-0.093879381	2.609587048	2.281383749	-0.278455075	-0.132633816	1.529965081	0.162278309	0.407558113	0.074123358	-1.626613925	0.465905566
Nest2Mediumworker	2	1	-3.145428519	-3.145428519	0.095443486	0.45335827	-3.145428519	1.593959005	-3.145428519	-0.747533247	-3.145428519	1.429656688	0.048807422	-3.145428519	-2.963106963	4.110334409	0.188724056	-0.50637119	1.865003094	-3.145428519	1.601549949	0.711867556	-1.022924495	-3.145428519	-0.702659052	2.524297671	2.625264477	0.757300046	1.111797357	0.187418284	1.307845631	0.451409684	1.454497721	1.399434341	0.694659355	0.920438496	2.601602906	1.165277998	0.632923815	0.336627422	0.765610582	0.100840697	-0.196165982	-0.346961242	0.518388402	-0.005188496
nest2smallworker1	2	1	-2.699796418	-2.699796418	0.30085439	0.321648826	-2.699796418	1.805102171	-2.699796418	-0.684893397	-2.699796418	1.549753011	0.047354489	-2.699796418	-1.218191877	4.414548042	0.86322955	-0.302047792	1.724407589	-2.699796418	2.039253182	0.543077457	-0.036842541	-2.699796418	-1.013870168	2.758488566	2.493460333	1.712910102	1.380244585	0.073986029	1.803839501	0.340196731	0.649926074	1.27239697	0.187038593	0.919206185	2.239742122	1.540946107	1.442398597	0.188963097	0.192020518	-2.699796418	-2.699796418	-2.699796418	-0.013521384	0.162134941
nest2smallworker2	2	1	-2.684527531	-2.684527531	0.494125495	0.828039744	-2.684527531	1.885463926	-2.684527531	-0.199620881	-2.684527531	1.852253369	0.571309842	-2.684527531	-2.684527531	4.143430854	0.301763111	0.301763111	1.870543795	-2.684527531	1.604587528	0.193354161	-0.90418583	-2.684527531	-1.807897801	2.628799037	2.232507615	1.422397959	1.303706939	0.13726383	1.757658724	0.190274874	0.872881064	1.204231147	-0.373250522	0.737211715	1.916733113	1.826772351	1.897827794	-1.112723783	0.394189779	-2.684527531	-0.404462522	-0.221690721	-1.08548951	0.385506
Larva Bottom	1	2	-4.576188639	-2.612727556	-2.580255345	-0.623910552	-2.943837843	0.684952605	-2.076240105	-3.117573616	-1.158935707	0.123291308	-0.901138851	-2.002550752	-0.041990285	3.438817915	1.783521831	-0.11029959	2.588423522	-0.176738959	1.070469966	1.20431181	-0.24621223	-1.080449979	0.21039917	2.050249329	3.272009827	0.718383523	0.025236342	-0.661530569	2.198318479	0.770793384	2.290234005	1.611479121	-1.319005865	1.073127534	2.711885674	0.91870022	-0.179912069	-0.372191784	1.001015653	0.677221221	-0.451227242	-2.446667408	-0.509437909	-0.233819586
N1 Medium termite 1	1	1	-5.256290111	-1.902015273	-1.788033325	-1.577375769	-2.59052318	1.463122266	-1.749379606	-2.953705018	-0.92063722	0.536525765	-0.930968691	-1.715625497	-0.436093121	3.207275724	1.37955652	-0.084918158	2.631173051	-0.037714366	0.919502444	0.987957571	-0.178594921	-0.950949925	-0.510084576	1.627493157	3.08874819	0.816217867	0.087441834	-5.256290111	2.445488518	0.636380019	2.362450569	1.889307895	-0.025577599	0.731492356	2.815873417	1.00868278	-0.591773927	-0.014827956	0.979508269	1.168416955	0.039677116	-0.856823785	-1.11317167	0.61908152
N1_temite soldier 2	1	1	-2.035781299	-1.652730409	-1.934856895	-2.273959574	0.050741362	1.407280881	-0.2429145	-2.449236257	-0.255788712	0.184089254	-0.921228294	0.323962432	0.016261167	2.806342808	1.290153503	-0.052787768	1.874458946	-0.907617522	0.224672939	0.405029647	-0.815983592	0.585383163	0.147572408	1.217542352	2.284638147	0.201030883	-0.897581405	-0.205482696	1.792473423	-0.17409091	1.219157799	1.333089182	0.249768745	0.714240041	1.644620048	-0.315563897	-0.913842445	-0.278757075	0.146097214	0.198164524	-1.168984833	-2.313660001	-0.630773443	0.12485066
N1_termite soldier 1	1	1	-2.070093067	-2.117191205	-2.976781574	-2.674115963	0.18788857	1.054172294	-0.422771479	-2.803177276	-0.337817302	-0.263570278	-0.815515497	-0.389138822	0.095366269	2.727086256	1.179190348	0.247423043	1.81812442	-0.315193493	0.024759187	0.201991241	-0.946082076	0.299277011	0.009085111	1.313385185	2.529374025	0.654414205	-0.444198084	0.17979014	1.627596024	0.359561323	1.574394355	0.898354313	0.362276235	1.24285037	2.061617149	0.166261981	-0.932350308	0.161628679	0.635907934	0.460038595	-1.130982075	-2.197466847	-0.693670543	-0.541698373
N1_small termite 2	1	1	-4.163154094	-2.156389299	-1.050982087	-1.166191827	-4.163154094	0.576943733	-1.512206944	-2.161674094	-0.4744139	-0.045120659	-1.094828545	-1.286535929	-1.102733983	2.463976601	1.591693184	0.264630529	2.376128119	-0.012915533	0.504955134	1.253726621	-0.425281497	-0.20527578	-0.783966255	1.03412092	3.406943619	1.731870282	-0.059889187	-0.086825296	2.103039646	0.92565363	2.443392693	1.764039475	-4.163154094	0.555789339	2.781273877	0.98684283	0.29369565	-0.491220946	0.914594971	0.723946621	-0.386550961	-1.122109507	-0.53332245	-0.049360513
